0,1,2,3,4,5
He absorbed the knowledge or beliefs of his tribe .,1,1,absorbed,VERB,"become imbued<FF>take up mentally<FF>take up, as of debts or payments<FF>take in, also metaphorically<FF>cause to become one with<FF>suck or take up or in<FF>devote (oneself) fully to<FF>assimilate or take in<FF>consume all of one's attention or time<FF>"
He absorbed the costs for the accident .,1,1,absorbed,VERB,"become imbued<FF>take up mentally<FF>take up, as of debts or payments<FF>take in, also metaphorically<FF>cause to become one with<FF>suck or take up or in<FF>devote (oneself) fully to<FF>assimilate or take in<FF>consume all of one's attention or time<FF>"
The sales tax is absorbed into the state income tax .,1,4,absorbed,VERB,"become imbued<FF>take up mentally<FF>take up, as of debts or payments<FF>take in, also metaphorically<FF>cause to become one with<FF>suck or take up or in<FF>devote (oneself) fully to<FF>assimilate or take in<FF>consume all of one's attention or time<FF>"
The immigrants were quickly absorbed into society .,1,4,absorbed,VERB,"become imbued<FF>take up mentally<FF>take up, as of debts or payments<FF>take in, also metaphorically<FF>cause to become one with<FF>suck or take up or in<FF>devote (oneself) fully to<FF>assimilate or take in<FF>consume all of one's attention or time<FF>"
Her interest in butterflies absorbs her completely .,1,4,absorbs,VERB,"become imbued<FF>take up mentally<FF>take up, as of debts or payments<FF>take in, also metaphorically<FF>cause to become one with<FF>suck or take up or in<FF>devote (oneself) fully to<FF>assimilate or take in<FF>consume all of one's attention or time<FF>"
This boss abuses his workers .,0,2,abuses,VERB,treat badly<FF>change the inherent purpose or function of something<FF>use foul or abusive language towards<FF>use wrongly or improperly or excessively<FF>
Do n't abuse the system .,1,2,abuse,VERB,treat badly<FF>change the inherent purpose or function of something<FF>use foul or abusive language towards<FF>use wrongly or improperly or excessively<FF>
The actress abused the policeman who gave her a parking ticket .,0,2,abused,VERB,treat badly<FF>change the inherent purpose or function of something<FF>use foul or abusive language towards<FF>use wrongly or improperly or excessively<FF>
Her husband often abuses alcohol .,1,3,abuses,VERB,treat badly<FF>change the inherent purpose or function of something<FF>use foul or abusive language towards<FF>use wrongly or improperly or excessively<FF>
This hotel can accommodate 250 guests .,0,3,accommodate,VERB,"be agreeable or acceptable to<FF>make fit for, or change to suit a new purpose<FF>provide with something desired or needed<FF>have room for; hold without crowding<FF>provide housing for<FF>provide a service or favor for someone<FF>make (one thing) compatible with (another)<FF>"
The scientists had to accommodate the new results with the existing theories .,1,4,accommodate,VERB,"be agreeable or acceptable to<FF>make fit for, or change to suit a new purpose<FF>provide with something desired or needed<FF>have room for; hold without crowding<FF>provide housing for<FF>provide a service or favor for someone<FF>make (one thing) compatible with (another)<FF>"
The program committee acknowledged the submission of the authors of the paper .,0,3,acknowledged,VERB,"declare to be true or admit the existence or reality or truth of<FF>report the receipt of<FF>express recognition of the presence or existence of, or acquaintance with<FF>express obligation, thanks, or gratitude for<FF>accept as legally binding and valid<FF>accept (someone) to be what is claimed or accept his power and authority<FF>"
He never acknowledges his colleagues when they run into him in the hallway .,0,2,acknowledges,VERB,"declare to be true or admit the existence or reality or truth of<FF>report the receipt of<FF>express recognition of the presence or existence of, or acquaintance with<FF>express obligation, thanks, or gratitude for<FF>accept as legally binding and valid<FF>accept (someone) to be what is claimed or accept his power and authority<FF>"
We must acknowledge the kindness she showed towards us .,0,2,acknowledge,VERB,"declare to be true or admit the existence or reality or truth of<FF>report the receipt of<FF>express recognition of the presence or existence of, or acquaintance with<FF>express obligation, thanks, or gratitude for<FF>accept as legally binding and valid<FF>accept (someone) to be what is claimed or accept his power and authority<FF>"
acknowledge the deed .,0,0,acknowledge,VERB,"declare to be true or admit the existence or reality or truth of<FF>report the receipt of<FF>express recognition of the presence or existence of, or acquaintance with<FF>express obligation, thanks, or gratitude for<FF>accept as legally binding and valid<FF>accept (someone) to be what is claimed or accept his power and authority<FF>"
The Crown Prince was acknowledged as the true heir to the throne .,0,4,acknowledged,VERB,"declare to be true or admit the existence or reality or truth of<FF>report the receipt of<FF>express recognition of the presence or existence of, or acquaintance with<FF>express obligation, thanks, or gratitude for<FF>accept as legally binding and valid<FF>accept (someone) to be what is claimed or accept his power and authority<FF>"
The residents of this village adhered to Catholicism .,1,5,adhered,VERB,be compatible or in accordance with<FF>follow through or carry out a plan without deviation<FF>come or be in close contact with; stick or hold together and resist separation<FF>be a devoted follower or supporter<FF>be loyal to<FF>stick to firmly<FF>
Will this wallpaper adhere to the wall ?,0,3,adhere,VERB,be compatible or in accordance with<FF>follow through or carry out a plan without deviation<FF>come or be in close contact with; stick or hold together and resist separation<FF>be a devoted follower or supporter<FF>be loyal to<FF>stick to firmly<FF>
The steering of my new car answers to the slightest touch .,1,6,answers,VERB,"react verbally<FF>respond to a signal<FF>give the correct answer or solution to<FF>understand the meaning of<FF>give a defence or refutation of (a charge) or in (an argument)<FF>be liable or accountable<FF>be sufficient; be adequate, either in quality or quantity<FF>match or correspond<FF>be satisfactory for; meet the requirements of or serve the purpose of<FF>react to a stimulus or command<FF>"
answer the telephone .,0,0,answer,VERB,"react verbally<FF>respond to a signal<FF>give the correct answer or solution to<FF>understand the meaning of<FF>give a defence or refutation of (a charge) or in (an argument)<FF>be liable or accountable<FF>be sufficient; be adequate, either in quality or quantity<FF>match or correspond<FF>be satisfactory for; meet the requirements of or serve the purpose of<FF>react to a stimulus or command<FF>"
The question concerning the meaning of life can not be answered .,0,10,answered,VERB,"react verbally<FF>respond to a signal<FF>give the correct answer or solution to<FF>understand the meaning of<FF>give a defence or refutation of (a charge) or in (an argument)<FF>be liable or accountable<FF>be sufficient; be adequate, either in quality or quantity<FF>match or correspond<FF>be satisfactory for; meet the requirements of or serve the purpose of<FF>react to a stimulus or command<FF>"
The defendant answered to all the charges of the prosecution .,0,2,answered,VERB,"react verbally<FF>respond to a signal<FF>give the correct answer or solution to<FF>understand the meaning of<FF>give a defence or refutation of (a charge) or in (an argument)<FF>be liable or accountable<FF>be sufficient; be adequate, either in quality or quantity<FF>match or correspond<FF>be satisfactory for; meet the requirements of or serve the purpose of<FF>react to a stimulus or command<FF>"
We ascended the mountain .,0,1,ascended,VERB,"travel up,<FF>go back in order of genealogical succession<FF>become king or queen<FF>appear to be moving upward, as by means of tendrils<FF>go along towards (a river's) source<FF>slope upwards<FF>come up, of celestial bodies<FF>move to a better position in life or to a better job; ""She ascended from a life of poverty to one of great<FF>"
Inheritance may not ascend linearly .,1,3,ascend,VERB,"travel up,<FF>go back in order of genealogical succession<FF>become king or queen<FF>appear to be moving upward, as by means of tendrils<FF>go along towards (a river's) source<FF>slope upwards<FF>come up, of celestial bodies<FF>move to a better position in life or to a better job; ""She ascended from a life of poverty to one of great<FF>"
The path ascended to the top of the hill .,0,2,ascended,VERB,"travel up,<FF>go back in order of genealogical succession<FF>become king or queen<FF>appear to be moving upward, as by means of tendrils<FF>go along towards (a river's) source<FF>slope upwards<FF>come up, of celestial bodies<FF>move to a better position in life or to a better job; ""She ascended from a life of poverty to one of great<FF>"
"Hitler attacked Poland on September 1 , 1939 and started World War II .",0,1,attacked,VERB,launch an attack or assault on; begin hostilities or start warfare with<FF>attack in speech or writing<FF>take the initiative and go on the offensive<FF>attack someone physically or emotionally<FF>set to work upon; turn one's energies vigorously to a task<FF>begin to injure<FF>
The editors of the left - leaning paper attacked the new House Speaker .,1,8,attacked,VERB,launch an attack or assault on; begin hostilities or start warfare with<FF>attack in speech or writing<FF>take the initiative and go on the offensive<FF>attack someone physically or emotionally<FF>set to work upon; turn one's energies vigorously to a task<FF>begin to injure<FF>
The Serbs attacked the village at night .,0,2,attacked,VERB,launch an attack or assault on; begin hostilities or start warfare with<FF>attack in speech or writing<FF>take the initiative and go on the offensive<FF>attack someone physically or emotionally<FF>set to work upon; turn one's energies vigorously to a task<FF>begin to injure<FF>
I attacked the problem as soon as I got out of bed .,1,1,attacked,VERB,launch an attack or assault on; begin hostilities or start warfare with<FF>attack in speech or writing<FF>take the initiative and go on the offensive<FF>attack someone physically or emotionally<FF>set to work upon; turn one's energies vigorously to a task<FF>begin to injure<FF>
The cancer cells are attacking his liver .,1,4,attacking,VERB,launch an attack or assault on; begin hostilities or start warfare with<FF>attack in speech or writing<FF>take the initiative and go on the offensive<FF>attack someone physically or emotionally<FF>set to work upon; turn one's energies vigorously to a task<FF>begin to injure<FF>
The Turks besieged Vienna .,0,2,besieged,VERB,"surround so as to force to give up<FF>cause to feel distressed or worried<FF>harass, as with questions or requests<FF>"
She was besieged by so many problems that she got discouraged .,1,2,besieged,VERB,"surround so as to force to give up<FF>cause to feel distressed or worried<FF>harass, as with questions or requests<FF>"
The press photographers besieged the movie star .,1,3,besieged,VERB,"surround so as to force to give up<FF>cause to feel distressed or worried<FF>harass, as with questions or requests<FF>"
The Chinese would bind the feet of their women .,0,3,bind,VERB,"stick to firmly<FF>create social or emotional ties<FF>make fast; tie or secure, with or as if with a rope<FF>wrap around with something so as to cover or enclose<FF>secure with or as if with ropes<FF>bind by an obligation; cause to be indebted<FF>provide with a binding<FF>fasten or secure with a rope, string, or cord<FF>form a chemical bond with<FF>cause to be constipated<FF>"
They bind their books in leather .,0,1,bind,VERB,"stick to firmly<FF>create social or emotional ties<FF>make fast; tie or secure, with or as if with a rope<FF>wrap around with something so as to cover or enclose<FF>secure with or as if with ropes<FF>bind by an obligation; cause to be indebted<FF>provide with a binding<FF>fasten or secure with a rope, string, or cord<FF>form a chemical bond with<FF>cause to be constipated<FF>"
The hydrogen binds the oxygen .,1,2,binds,VERB,"stick to firmly<FF>create social or emotional ties<FF>make fast; tie or secure, with or as if with a rope<FF>wrap around with something so as to cover or enclose<FF>secure with or as if with ropes<FF>bind by an obligation; cause to be indebted<FF>provide with a binding<FF>fasten or secure with a rope, string, or cord<FF>form a chemical bond with<FF>cause to be constipated<FF>"
Meteors blazed across the atmosphere .,1,1,blazed,VERB,shine brightly and intensively<FF>shoot rapidly and repeatedly<FF>burn brightly and intensely<FF>move rapidly and as if blazing<FF>indicate by marking trees with blazes<FF>
The summer sun alone can cause a pine to blaze .,0,9,blaze,VERB,shine brightly and intensively<FF>shoot rapidly and repeatedly<FF>burn brightly and intensely<FF>move rapidly and as if blazing<FF>indicate by marking trees with blazes<FF>
The spaceship blazed out into space .,1,2,blazed,VERB,shine brightly and intensively<FF>shoot rapidly and repeatedly<FF>burn brightly and intensely<FF>move rapidly and as if blazing<FF>indicate by marking trees with blazes<FF>
Her feet blistered during the long hike .,0,2,blistered,VERB,get blistered<FF>subject to harsh criticism<FF>cause blisters to form on<FF>
The Senator blistered the administration in his speech on Friday .,1,2,blistered,VERB,get blistered<FF>subject to harsh criticism<FF>cause blisters to form on<FF>
The haze blurs the hills .,0,2,blurs,VERB,"become glassy; lose clear vision<FF>to make less distinct or clear<FF>make unclear, indistinct, or blurred<FF>make a smudge on; soil by smudging<FF>make dim or indistinct<FF>become vague or indistinct<FF>"
The fog blurs my vision .,0,2,blurs,VERB,"become glassy; lose clear vision<FF>to make less distinct or clear<FF>make unclear, indistinct, or blurred<FF>make a smudge on; soil by smudging<FF>make dim or indistinct<FF>become vague or indistinct<FF>"
The distinction between the two theories blurred .,1,6,blurred,VERB,"become glassy; lose clear vision<FF>to make less distinct or clear<FF>make unclear, indistinct, or blurred<FF>make a smudge on; soil by smudging<FF>make dim or indistinct<FF>become vague or indistinct<FF>"
The listeners bolted when he discussed his strange ideas .,1,2,bolted,VERB,move or jump suddenly<FF>secure or lock with a bolt<FF>swallow hastily<FF>run away; usually includes taking something or somebody along<FF>leave suddenly and as if in a hurry<FF>eat hastily without proper chewing<FF>make or roll into bolts<FF>
Do n't bolt your food !,1,2,bolt,VERB,move or jump suddenly<FF>secure or lock with a bolt<FF>swallow hastily<FF>run away; usually includes taking something or somebody along<FF>leave suddenly and as if in a hurry<FF>eat hastily without proper chewing<FF>make or roll into bolts<FF>
The tax cut will boost the economy .,1,4,boost,VERB,"increase<FF>give a boost to; be beneficial to<FF>contribute to the progress or growth of<FF>increase or raise<FF>push or shove upward, as if from below or behind<FF>"
Boost the voltage in an electrical circuit .,0,0,Boost,VERB,"increase<FF>give a boost to; be beneficial to<FF>contribute to the progress or growth of<FF>increase or raise<FF>push or shove upward, as if from below or behind<FF>"
The singer had to be boosted onto the stage by a special contraption .,0,5,boosted,VERB,"increase<FF>give a boost to; be beneficial to<FF>contribute to the progress or growth of<FF>increase or raise<FF>push or shove upward, as if from below or behind<FF>"
The rubber ball bounced .,0,3,bounced,VERB,spring back; spring away from an impact<FF>hit something so that it bounces<FF>move up and down repeatedly<FF>come back after being refused<FF>leap suddenly<FF>refuse to accept and send back<FF>eject from the premises<FF>
The ex - boxer 's job is to bounce people who want to enter this private club .,1,8,bounce,VERB,spring back; spring away from an impact<FF>hit something so that it bounces<FF>move up and down repeatedly<FF>come back after being refused<FF>leap suddenly<FF>refuse to accept and send back<FF>eject from the premises<FF>
The government bowed to the military pressure .,1,2,bowed,VERB,"bend one's knee or body, or lower one's head<FF>yield to another's wish or opinion<FF>bend the head or the upper part of the body in a gesture of respect or greeting<FF>bend one's back forward from the waist on down<FF>play on a string instrument with a bow<FF>"
He breathed new life into the old house .,1,1,breathed,VERB,"draw air into, and expel out of, the lungs<FF>be alive<FF>impart as if by breathing<FF>allow the passage of air through<FF>utter or tell<FF>manifest or evince<FF>take a short break from one's activities in order to relax<FF>reach full flavor by absorbing air and being let to stand after having been uncorked<FF>expel (gases or odors)<FF>"
Our new synthetic fabric breathes and is perfect for summer wear .,1,4,breathes,VERB,"draw air into, and expel out of, the lungs<FF>be alive<FF>impart as if by breathing<FF>allow the passage of air through<FF>utter or tell<FF>manifest or evince<FF>take a short break from one's activities in order to relax<FF>reach full flavor by absorbing air and being let to stand after having been uncorked<FF>expel (gases or odors)<FF>"
Johnson brushed the hairs from his jacket .,0,1,brushed,VERB,"rub with a brush, or as if with a brush<FF>touch lightly and briefly<FF>clean with a brush<FF>sweep across or over<FF>remove with or as if with a brush<FF>cover by brushing<FF>"
He brushed the wall lightly .,0,1,brushed,VERB,"rub with a brush, or as if with a brush<FF>touch lightly and briefly<FF>clean with a brush<FF>sweep across or over<FF>remove with or as if with a brush<FF>cover by brushing<FF>"
She brushed the suit before hanging it back into the closet .,0,1,brushed,VERB,"rub with a brush, or as if with a brush<FF>touch lightly and briefly<FF>clean with a brush<FF>sweep across or over<FF>remove with or as if with a brush<FF>cover by brushing<FF>"
Suspense was building right from the beginning of the opera .,1,2,building,VERB,"make by combining materials and parts<FF>form or accumulate steadily<FF>build or establish something abstract<FF>improve the cleansing action of<FF>order, supervise, or finance the construction of<FF>give form to, according to a plan<FF>be engaged in building<FF>found or ground<FF>bolster or strengthen<FF>develop and grow<FF>"
The government is building new schools in this state .,0,3,building,VERB,"make by combining materials and parts<FF>form or accumulate steadily<FF>build or establish something abstract<FF>improve the cleansing action of<FF>order, supervise, or finance the construction of<FF>give form to, according to a plan<FF>be engaged in building<FF>found or ground<FF>bolster or strengthen<FF>develop and grow<FF>"
build a modern nation .,1,0,build,VERB,"make by combining materials and parts<FF>form or accumulate steadily<FF>build or establish something abstract<FF>improve the cleansing action of<FF>order, supervise, or finance the construction of<FF>give form to, according to a plan<FF>be engaged in building<FF>found or ground<FF>bolster or strengthen<FF>develop and grow<FF>"
These architects build in interesting and new styles .,0,2,build,VERB,"make by combining materials and parts<FF>form or accumulate steadily<FF>build or establish something abstract<FF>improve the cleansing action of<FF>order, supervise, or finance the construction of<FF>give form to, according to a plan<FF>be engaged in building<FF>found or ground<FF>bolster or strengthen<FF>develop and grow<FF>"
build a defense on nothing but the accused person 's reputation .,1,0,build,VERB,"make by combining materials and parts<FF>form or accumulate steadily<FF>build or establish something abstract<FF>improve the cleansing action of<FF>order, supervise, or finance the construction of<FF>give form to, according to a plan<FF>be engaged in building<FF>found or ground<FF>bolster or strengthen<FF>develop and grow<FF>"
This sum will buy you a ride on the train .,0,3,buy,VERB,obtain by purchase; acquire by means of a financial transaction<FF>make illegal payments to in exchange for favors or influence<FF>be worth or be capable of buying<FF>acquire by trade or sacrifice or exchange<FF>accept as true<FF>
She wanted to buy his love with her dedication to him and his work .,0,3,buy,VERB,obtain by purchase; acquire by means of a financial transaction<FF>make illegal payments to in exchange for favors or influence<FF>be worth or be capable of buying<FF>acquire by trade or sacrifice or exchange<FF>accept as true<FF>
I ca n't buy this story .,1,3,buy,VERB,obtain by purchase; acquire by means of a financial transaction<FF>make illegal payments to in exchange for favors or influence<FF>be worth or be capable of buying<FF>acquire by trade or sacrifice or exchange<FF>accept as true<FF>
bees were buzzing around the hive .,0,2,buzzing,VERB,make a buzzing sound<FF>fly low<FF>be noisy with activity<FF>call with a buzzer<FF>
Planes buzzed the crowds in the square .,0,1,buzzed,VERB,make a buzzing sound<FF>fly low<FF>be noisy with activity<FF>call with a buzzer<FF>
This office is buzzing with activity .,1,3,buzzing,VERB,make a buzzing sound<FF>fly low<FF>be noisy with activity<FF>call with a buzzer<FF>
he buzzed the servant .,1,1,buzzed,VERB,make a buzzing sound<FF>fly low<FF>be noisy with activity<FF>call with a buzzer<FF>
capture the essence of Spring   .,1,0,capture,VERB,"succeed in representing or expressing something intangible<FF>attract; cause to be enamored<FF>succeed in catching or seizing, especially after a chase<FF>bring about the capture of an elementary particle or celestial body and causing it enter a new orbit<FF>take possession of by force, as after an invasion<FF>capture as if by hunting, snaring, or trapping<FF>"
She captured all the men 's hearts .,1,1,captured,VERB,"succeed in representing or expressing something intangible<FF>attract; cause to be enamored<FF>succeed in catching or seizing, especially after a chase<FF>bring about the capture of an elementary particle or celestial body and causing it enter a new orbit<FF>take possession of by force, as after an invasion<FF>capture as if by hunting, snaring, or trapping<FF>"
This nucleus has captured the slow - moving neutrons .,0,3,captured,VERB,"succeed in representing or expressing something intangible<FF>attract; cause to be enamored<FF>succeed in catching or seizing, especially after a chase<FF>bring about the capture of an elementary particle or celestial body and causing it enter a new orbit<FF>take possession of by force, as after an invasion<FF>capture as if by hunting, snaring, or trapping<FF>"
They clawed their way to the top of the mountain .,1,1,clawed,VERB,"move as if by clawing, seizing, or digging<FF>clutch as if in panic<FF>scratch, scrape, pull, or dig with claws or nails<FF>attack as if with claws<FF>"
She clawed the doorknob .,1,1,clawed,VERB,"move as if by clawing, seizing, or digging<FF>clutch as if in panic<FF>scratch, scrape, pull, or dig with claws or nails<FF>attack as if with claws<FF>"
The politician clawed his rival .,1,2,clawed,VERB,"move as if by clawing, seizing, or digging<FF>clutch as if in panic<FF>scratch, scrape, pull, or dig with claws or nails<FF>attack as if with claws<FF>"
