0,1,2,3,4,5
"Design : Crossed lines over the toytown tram : City transport could soon be back on the right track , says Jonathan Glancey",1,2,Crossed,ADJ,travel across or pass over<FF>
"Design : Crossed lines over the toytown tram : City transport could soon be back on the right track , says Jonathan Glancey",0,6,toytown,ADJ,toytown<FF>
"Design : Crossed lines over the toytown tram : City transport could soon be back on the right track , says Jonathan Glancey",0,17,right,ADJ,"socially right or correct<FF>appropriate for a condition or purpose or occasion or a person's character, needs<FF>in or into a satisfactory condition<FF>intended for the right hand<FF>in accord with accepted standards of usage or procedure<FF>having the axis perpendicular to the base<FF>(of the side of cloth or clothing) facing or intended to face outward<FF>most suitable or right for a particular purpose<FF>precisely accurate<FF>"
"MODERN trams , as most continental Europeans know , neither shake nor rattle , nor do they roll .",0,4,most,ADJ,(superlative of `many' used with count nouns and often preceded by `the') quantifier meaning the greatest in number<FF>
"MODERN trams , as most continental Europeans know , neither shake nor rattle , nor do they roll .",0,5,continental,ADJ,of or pertaining to or typical of Europe<FF>
"MODERN trams , as most continental Europeans know , neither shake nor rattle , nor do they roll .",0,12,rattle,ADJ,a rapid series of short loud sounds (as might be heard with a stethoscope in some types of respiratory disorders)<FF>
"Sleek , solidly built , gentle on the environment , they are often an ideal form of city transport .",1,0,Sleek,ADJ,"well-groomed and neatly tailored; especially too well-groomed<FF>designed or arranged to offer the least resistant to fluid flow<FF>having a smooth, gleaming surface reflecting light<FF>"
"Sleek , solidly built , gentle on the environment , they are often an ideal form of city transport .",1,5,gentle,ADJ,soft and mild; not harsh or stern or severe<FF>having or showing a kindly or tender nature<FF>quiet and soothing<FF>belonging to or characteristic of the nobility or aristocracy<FF>easily handled or managed<FF>having little impact<FF>marked by moderate steepness<FF>
"Sleek , solidly built , gentle on the environment , they are often an ideal form of city transport .",0,14,ideal,ADJ,conforming to an ultimate standard of perfection or excellence; embodying an ideal<FF>constituting or existing only in the form of an idea or mental image or conception<FF>
"They also exert a fascination very much of their own as they slither round circuses and brush through old city gates , flashing arcs of lightning as they switch tracks on winter nights .",0,6,much,ADJ,a great amount or extent<FF>
"They also exert a fascination very much of their own as they slither round circuses and brush through old city gates , flashing arcs of lightning as they switch tracks on winter nights .",0,8,their,ADJ,their<FF>
"They also exert a fascination very much of their own as they slither round circuses and brush through old city gates , flashing arcs of lightning as they switch tracks on winter nights .",0,9,own,ADJ,belonging to or on behalf of a specified person (especially yourself); preceded by a possessive<FF>
"They also exert a fascination very much of their own as they slither round circuses and brush through old city gates , flashing arcs of lightning as they switch tracks on winter nights .",0,13,round,ADJ,"(of sounds) full and rich<FF>(mathematics) expressed to the nearest integer, ten, hundred, or thousand<FF>"
"They also exert a fascination very much of their own as they slither round circuses and brush through old city gates , flashing arcs of lightning as they switch tracks on winter nights .",0,18,old,ADJ,(used for emphasis) very familiar<FF>skilled through long experience<FF>belonging to some prior time<FF>(used informally especially for emphasis)<FF>of a very early stage in development<FF>just preceding something else in time or order<FF>
"Single-car , articulated or double-decker , trams are one of the most reliable and enduring forms of public transport invented .",0,12,reliable,ADJ,worthy of being depended on<FF>conforming to fact and therefore worthy of belief<FF>
"Single-car , articulated or double-decker , trams are one of the most reliable and enduring forms of public transport invented .",0,14,enduring,ADJ,unceasing<FF>patiently bearing continual wrongs or trouble<FF>
"Single-car , articulated or double-decker , trams are one of the most reliable and enduring forms of public transport invented .",0,17,public,ADJ,affecting the people or community as a whole<FF>
"Eventually they will be replaced , but more than 60 years on they run with the rhythmic reliability of a Swiss watch .",0,7,more,ADJ,"English statesman who opposed Henry VIII's divorce from Catherine of Aragon and was imprisoned and beheaded; recalled for his concept of Utopia, the ideal state<FF>"
"Eventually they will be replaced , but more than 60 years on they run with the rhythmic reliability of a Swiss watch .",1,16,rhythmic,ADJ,recurring with measured regularity; - John Galsworthy<FF>
"Eventually they will be replaced , but more than 60 years on they run with the rhythmic reliability of a Swiss watch .",0,20,Swiss,ADJ,the natives or inhabitants of Switzerland<FF>
Last month it was announced that Britain will get its first new-wave trams in 1991 .,0,0,Last,ADJ,immediately past<FF>occurring at or forming an end or termination<FF>most unlikely or unsuitable<FF>occurring at the time of death<FF>conclusive in a process or progression<FF>highest in extent or degree<FF>not to be altered or undone<FF>lowest in rank or importance<FF>
Last month it was announced that Britain will get its first new-wave trams in 1991 .,0,9,its,ADJ,the branch of engineering that deals with the use of computers and telecommunications to retrieve and store and transmit information<FF>
Last month it was announced that Britain will get its first new-wave trams in 1991 .,0,10,first,ADJ,indicating the beginning unit in a series<FF>serving to set in motion<FF>serving to begin<FF>ranking above all others<FF>
"Destined to run in Manchester , they will relieve traffic congestion and help to reduce the levels of carbon monoxide in the city centre , outlying suburbs and satellite towns of Bury , Altrincham , Salford , Oldham and Rochdale .",0,25,outlying,ADJ,relatively far from a center or middle<FF>
"In Britain , with the main exception of Blackpool ( not forgetting the single-deckers of the Isle of Man and Llandudno ) , trams had been largely relegated to the history books .",0,5,main,ADJ,most important element<FF>of force; of the greatest possible intensity<FF>
"Otherwise , the best place to see working trams has been the tram museum at Crich in Derbyshire or else in old British Transport Commission films and Ealing comedies .",0,3,best,ADJ,(comparative and superlative of `well') wiser or more advantageous and hence advisable<FF>having the normally expected amount<FF>deserving of esteem and respect<FF>promoting or enhancing well-being<FF>agreeable or pleasing<FF>of moral excellence<FF>having or showing knowledge and skill and aptitude<FF>thorough<FF>with or in a close or intimate relationship<FF>financially sound<FF>most suitable or right for a particular purpose<FF>resulting favorably<FF>exerting force or influence<FF>capable of pleasing<FF>appealing to the mind<FF>in excellent physical condition<FF>tending to promote physical well-being; beneficial to health<FF>not forged<FF>not left to spoil<FF>generally admired<FF>
"Otherwise , the best place to see working trams has been the tram museum at Crich in Derbyshire or else in old British Transport Commission films and Ealing comedies .",0,21,old,ADJ,(used for emphasis) very familiar<FF>skilled through long experience<FF>belonging to some prior time<FF>(used informally especially for emphasis)<FF>of a very early stage in development<FF>just preceding something else in time or order<FF>
Trams disappeared from most British cities in the 1950s .,0,3,most,ADJ,(superlative of `many' used with count nouns and often preceded by `the') quantifier meaning the greatest in number<FF>
Trams disappeared from most British cities in the 1950s .,0,4,British,ADJ,the people of Great Britain<FF>
London 's venerable red and cream double-deckers rumbled along the Thames embankment for the last time in 1952 .,1,2,venerable,ADJ,impressive by reason of age<FF>profoundly honored<FF>
London 's venerable red and cream double-deckers rumbled along the Thames embankment for the last time in 1952 .,0,5,cream,ADJ,the best people or things in a group<FF>
London 's venerable red and cream double-deckers rumbled along the Thames embankment for the last time in 1952 .,0,14,last,ADJ,immediately past<FF>occurring at or forming an end or termination<FF>most unlikely or unsuitable<FF>occurring at the time of death<FF>conclusive in a process or progression<FF>highest in extent or degree<FF>not to be altered or undone<FF>lowest in rank or importance<FF>
"Somehow the image of the tall , thin , mournful double-deck tram with its wooden body , slatted wooden seats and growling electric motor has stuck in the British mind .",0,5,tall,ADJ,lofty in style<FF>impressively difficult<FF>too improbable to admit of belief<FF>
"Somehow the image of the tall , thin , mournful double-deck tram with its wooden body , slatted wooden seats and growling electric motor has stuck in the British mind .",0,7,thin,ADJ,"very narrow<FF>not dense<FF>lacking spirit or sincere effort<FF>lacking substance or significance; ; ; ; a fragile claim to fame""<FF>"
"Somehow the image of the tall , thin , mournful double-deck tram with its wooden body , slatted wooden seats and growling electric motor has stuck in the British mind .",1,9,mournful,ADJ,expressing sorrow<FF>filled with or evoking sadness<FF>
"Somehow the image of the tall , thin , mournful double-deck tram with its wooden body , slatted wooden seats and growling electric motor has stuck in the British mind .",0,13,its,ADJ,the branch of engineering that deals with the use of computers and telecommunications to retrieve and store and transmit information<FF>
"Somehow the image of the tall , thin , mournful double-deck tram with its wooden body , slatted wooden seats and growling electric motor has stuck in the British mind .",0,14,wooden,ADJ,made or consisting of (entirely or in part) or employing wood<FF>lacking ease or grace<FF>
"Somehow the image of the tall , thin , mournful double-deck tram with its wooden body , slatted wooden seats and growling electric motor has stuck in the British mind .",0,18,wooden,ADJ,made or consisting of (entirely or in part) or employing wood<FF>lacking ease or grace<FF>
"Somehow the image of the tall , thin , mournful double-deck tram with its wooden body , slatted wooden seats and growling electric motor has stuck in the British mind .",0,22,electric,ADJ,(of a situation) exceptionally tense<FF>affected by emotion as if by electricity; thrilling<FF>
"Somehow the image of the tall , thin , mournful double-deck tram with its wooden body , slatted wooden seats and growling electric motor has stuck in the British mind .",0,28,British,ADJ,the people of Great Britain<FF>
"Trams , it was believed until surprisingly recently , are old-fashioned .",0,10,old-fashioned,ADJ,out of fashion<FF>
"They had something to do with fish and chips wrapped in newspaper , men in hats , National Health specs , smog and powdered egg .",0,23,powdered,ADJ,consisting of fine particles<FF>
"They held up the bright new diesel buses and , even worse , blocked the progress of private motorists in bulbous Austins and lumpen Humbers in canyon-like city thoroughfares .",1,4,bright,ADJ,having striking color<FF>characterized by quickness and ease in learning<FF>having lots of light either natural or artificial<FF>made smooth and bright by or as if by rubbing; reflecting a sheen or glow<FF>splendid<FF>clear and sharp and ringing<FF>characterized by happiness or gladness<FF>full or promise<FF>
"They held up the bright new diesel buses and , even worse , blocked the progress of private motorists in bulbous Austins and lumpen Humbers in canyon-like city thoroughfares .",0,5,new,ADJ,original and of a kind not seen before<FF>lacking training or experience<FF>having no previous example or precedent or parallel<FF>other than the former one(s); different<FF>(of a new kind or fashion) gratuitously new<FF>in use after medieval times<FF>used of a living language; being the current stage in its development<FF>(of crops) harvested at an early stage of development; before complete maturity<FF>unfamiliar<FF>
"They held up the bright new diesel buses and , even worse , blocked the progress of private motorists in bulbous Austins and lumpen Humbers in canyon-like city thoroughfares .",0,17,private,ADJ,concerning things deeply private and personal<FF>concerning one person exclusively<FF>not expressed<FF>
"They held up the bright new diesel buses and , even worse , blocked the progress of private motorists in bulbous Austins and lumpen Humbers in canyon-like city thoroughfares .",1,20,bulbous,ADJ,shaped like a bulb<FF>curving outward<FF>
"They held up the bright new diesel buses and , even worse , blocked the progress of private motorists in bulbous Austins and lumpen Humbers in canyon-like city thoroughfares .",1,26,canyon-like,ADJ,canyon-like<FF>
They picked up power from a spider 's web of unsightly overhead wires .,0,11,overhead,ADJ,"the expense of maintaining property (e.g., paying property taxes and utilities and insurance); it does not include depreciation or the cost of financing or income taxes<FF>"
"They were inflexible in operation , draughty , and mobile reminders of TB epidemics with the enamelled Ã¢ÂÂ Do Not Spit signs screwed to their bulkheads .",1,2,inflexible,ADJ,incapable of adapting or changing to meet circumstances<FF>
"They were inflexible in operation , draughty , and mobile reminders of TB epidemics with the enamelled Ã¢ÂÂ Do Not Spit signs screwed to their bulkheads .",0,6,draughty,ADJ,not airtight<FF>
"They were inflexible in operation , draughty , and mobile reminders of TB epidemics with the enamelled Ã¢ÂÂ Do Not Spit signs screwed to their bulkheads .",0,9,mobile,ADJ,migratory<FF>having transportation available<FF>capable of changing quickly from one state or condition to another<FF>affording change (especially in social status)<FF>
"They were inflexible in operation , draughty , and mobile reminders of TB epidemics with the enamelled Ã¢ÂÂ Do Not Spit signs screwed to their bulkheads .",0,16,enamelled,ADJ,"coat, inlay, or surface with enamel<FF>"
"They were inflexible in operation , draughty , and mobile reminders of TB epidemics with the enamelled Ã¢ÂÂ Do Not Spit signs screwed to their bulkheads .",0,24,their,ADJ,their<FF>
It plays a key role in keeping city streets on the move and is even the object of the best modern designers ' desire .,0,3,key,ADJ,serving as an essential component<FF>
It plays a key role in keeping city streets on the move and is even the object of the best modern designers ' desire .,0,19,best,ADJ,(comparative and superlative of `well') wiser or more advantageous and hence advisable<FF>having the normally expected amount<FF>deserving of esteem and respect<FF>promoting or enhancing well-being<FF>agreeable or pleasing<FF>of moral excellence<FF>having or showing knowledge and skill and aptitude<FF>thorough<FF>with or in a close or intimate relationship<FF>financially sound<FF>most suitable or right for a particular purpose<FF>resulting favorably<FF>exerting force or influence<FF>capable of pleasing<FF>appealing to the mind<FF>in excellent physical condition<FF>tending to promote physical well-being; beneficial to health<FF>not forged<FF>not left to spoil<FF>generally admired<FF>
It plays a key role in keeping city streets on the move and is even the object of the best modern designers ' desire .,0,20,modern,ADJ,relating to a recently developed fashion or style<FF>characteristic of present-day art and music and literature and architecture<FF>ahead of the times<FF>used of a living language; being the current stage in its development<FF>
"In Milan , for example , the commission to design the new generation of Ã¢ÂÂ Jumbo trams , which went into service in 1979 , was one that leading Italian architects and designers fought over .",0,11,new,ADJ,original and of a kind not seen before<FF>lacking training or experience<FF>having no previous example or precedent or parallel<FF>other than the former one(s); different<FF>(of a new kind or fashion) gratuitously new<FF>in use after medieval times<FF>used of a living language; being the current stage in its development<FF>(of crops) harvested at an early stage of development; before complete maturity<FF>unfamiliar<FF>
"In Milan , for example , the commission to design the new generation of Ã¢ÂÂ Jumbo trams , which went into service in 1979 , was one that leading Italian architects and designers fought over .",0,18,which,ADJ,which<FF>
"In Milan , for example , the commission to design the new generation of Ã¢ÂÂ Jumbo trams , which went into service in 1979 , was one that leading Italian architects and designers fought over .",0,29,Italian,ADJ,a native or inhabitant of Italy<FF>
"After all , the Jumbo , a handsome and imposing articulated unit designed by architect , engineer and critic Klaus Giovanni Koenig , will be seen on the streets of Milan for the next half-century .",1,7,handsome,ADJ,pleasing in appearance especially by reason of conformity to ideals of form and proportion; ; ; ; - Thackeray; - Lillian Hellman<FF>given or giving freely<FF>
"After all , the Jumbo , a handsome and imposing articulated unit designed by architect , engineer and critic Klaus Giovanni Koenig , will be seen on the streets of Milan for the next half-century .",0,10,articulated,ADJ,provide with a joint<FF>
"After all , the Jumbo , a handsome and imposing articulated unit designed by architect , engineer and critic Klaus Giovanni Koenig , will be seen on the streets of Milan for the next half-century .",0,18,critic,ADJ,a person who is professionally engaged in the analysis and interpretation of works of art<FF>
"After all , the Jumbo , a handsome and imposing articulated unit designed by architect , engineer and critic Klaus Giovanni Koenig , will be seen on the streets of Milan for the next half-century .",1,33,next,ADJ,immediately following in time or order<FF>nearest in space or position; immediately adjoining without intervening space<FF>(of elected officers) elected but not yet serving<FF>
"Assuming the power station at the end of the line burns cleanly , the tram is virtually pollution free .",1,18,free,ADJ,costing nothing<FF>not occupied or in use<FF>not fixed in position<FF>not taken up by scheduled activities<FF>completely wanting or lacking<FF>not literal<FF>
"Standing at traffic lights a Koenig-designed Jumbo is , save for the chatter inside , completely silent .",0,16,silent,ADJ,marked by absence of sound<FF>failing to speak or communicate etc when expected to<FF>implied by or inferred from actions or statements<FF>not made to sound<FF>having a frequency below or above the range of human audibility<FF>unable to speak because of hereditary deafness<FF>
The overhead wires are so slight that you have to look hard to see them .,0,1,overhead,ADJ,"the expense of maintaining property (e.g., paying property taxes and utilities and insurance); it does not include depreciation or the cost of financing or income taxes<FF>"
The overhead wires are so slight that you have to look hard to see them .,1,5,slight,ADJ,"lacking substance or significance; ; ; ; a fragile claim to fame""<FF>being of delicate or slender build; - Frank Norris<FF>"
The overhead wires are so slight that you have to look hard to see them .,1,11,hard,ADJ,very strong or vigorous<FF>characterized by effort to the point of exhaustion; especially physical effort<FF>given to excessive indulgence of bodily appetites especially for intoxicating liquors<FF>being distilled rather than fermented; having a high alcoholic content<FF>unfortunate or hard to bear<FF>dried out<FF>
"Powers of acceleration and braking are remarkable , the latter far greater than any car .",0,6,remarkable,ADJ,unusual or striking<FF>worthy of notice<FF>
"Powers of acceleration and braking are remarkable , the latter far greater than any car .",0,9,latter,ADJ,the second of two or the second mentioned of two<FF>
"Powers of acceleration and braking are remarkable , the latter far greater than any car .",1,11,greater,ADJ,relatively large in size or number or extent; larger than others of its kind<FF>of major significance or importance<FF>remarkable or out of the ordinary in degree or magnitude or effect<FF>very good<FF>uppercase<FF>in an advanced stage of pregnancy<FF>
"But sadly , there is no indication that the GMA consortium which will design , operate and maintain the first of the new generation British trams in Manchester will share the looks of their Milanese counterparts .",0,11,which,ADJ,which<FF>
"But sadly , there is no indication that the GMA consortium which will design , operate and maintain the first of the new generation British trams in Manchester will share the looks of their Milanese counterparts .",0,19,first,ADJ,indicating the beginning unit in a series<FF>serving to set in motion<FF>serving to begin<FF>ranking above all others<FF>
"But sadly , there is no indication that the GMA consortium which will design , operate and maintain the first of the new generation British trams in Manchester will share the looks of their Milanese counterparts .",0,22,new,ADJ,original and of a kind not seen before<FF>lacking training or experience<FF>having no previous example or precedent or parallel<FF>other than the former one(s); different<FF>(of a new kind or fashion) gratuitously new<FF>in use after medieval times<FF>used of a living language; being the current stage in its development<FF>(of crops) harvested at an early stage of development; before complete maturity<FF>unfamiliar<FF>
"But sadly , there is no indication that the GMA consortium which will design , operate and maintain the first of the new generation British trams in Manchester will share the looks of their Milanese counterparts .",0,24,British,ADJ,the people of Great Britain<FF>
"But sadly , there is no indication that the GMA consortium which will design , operate and maintain the first of the new generation British trams in Manchester will share the looks of their Milanese counterparts .",0,33,their,ADJ,their<FF>
"But sadly , there is no indication that the GMA consortium which will design , operate and maintain the first of the new generation British trams in Manchester will share the looks of their Milanese counterparts .",0,34,Milanese,ADJ,a native or inhabitant of Milan<FF>
"Artists ' impressions show a tram that has more in common with the flat-faced , characterless light trains of the toy-like Docklands Light Railway .",0,6,that,ADJ,that<FF>
"Artists ' impressions show a tram that has more in common with the flat-faced , characterless light trains of the toy-like Docklands Light Railway .",0,8,more,ADJ,"English statesman who opposed Henry VIII's divorce from Catherine of Aragon and was imprisoned and beheaded; recalled for his concept of Utopia, the ideal state<FF>"
"Artists ' impressions show a tram that has more in common with the flat-faced , characterless light trains of the toy-like Docklands Light Railway .",0,10,common,ADJ,common to or shared by two or more parties<FF>commonly encountered<FF>being or characteristic of or appropriate to everyday language<FF>of or associated with the great masses of people<FF>of low or inferior quality or value; - Shakespeare<FF>lacking refinement or cultivation or taste<FF>to be expected; standard<FF>
"Artists ' impressions show a tram that has more in common with the flat-faced , characterless light trains of the toy-like Docklands Light Railway .",1,13,flat-faced,ADJ,flat-faced<FF>
"Artists ' impressions show a tram that has more in common with the flat-faced , characterless light trains of the toy-like Docklands Light Railway .",0,15,characterless,ADJ,lacking distinct or individual characteristics; dull and uninteresting<FF>
"Artists ' impressions show a tram that has more in common with the flat-faced , characterless light trains of the toy-like Docklands Light Railway .",1,16,light,ADJ,(used of vowels or syllables) pronounced with little or no stress<FF>easily assimilated in the alimentary canal; not rich or heavily seasoned<FF>(used of soil) loose and large-grained in consistency<FF>(of sound or color) free from anything that dulls or dims<FF>moving easily and quickly; nimble<FF>demanding little effort; not burdensome<FF>weak and likely to lose consciousness<FF>very thin and insubstantial<FF>marked by temperance in indulgence<FF>less than the correct or legal or full amount often deliberately so<FF>having little importance<FF>intended primarily as entertainment; not serious or profound<FF>silly or trivial<FF>designed for ease of movement or to carry little weight<FF>having relatively few calories<FF>(of sleep) easily disturbed<FF>casual and unrestrained in sexual behavior<FF>
"Artists ' impressions show a tram that has more in common with the flat-faced , characterless light trains of the toy-like Docklands Light Railway .",1,20,toy-like,ADJ,toy-like<FF>
"There is still time for GMA ( GEC , Mowlem , Amec and Greater Manchester Buses ) to consider employing an inspired architect or industrial designer .",0,24,industrial,ADJ,employed in industry<FF>suitable to stand up to hard wear<FF>
"After all , Mancunians and visitors to the Manchester conurbation are going to have to look at these mechanical millipedes for well into the twenty-first century .",0,18,mechanical,ADJ,using (or as if using) mechanisms or tools or devices<FF>
"After all , Mancunians and visitors to the Manchester conurbation are going to have to look at these mechanical millipedes for well into the twenty-first century .",0,24,twenty-first,ADJ,coming next after the twentieth in position<FF>
"Now that buses are no longer designed to enhance the streets they serve , Manchester has a chance to make a fresh start with its trams .",1,21,fresh,ADJ,(of a cycle) beginning or occurring again<FF>imparting vitality and energy<FF>original and of a kind not seen before<FF>having recently calved and therefore able to give milk<FF>with restored energy<FF>not soured or preserved<FF>free from impurities<FF>not yet used or soiled<FF>improperly forward or bold<FF>
"Now that buses are no longer designed to enhance the streets they serve , Manchester has a chance to make a fresh start with its trams .",0,24,its,ADJ,the branch of engineering that deals with the use of computers and telecommunications to retrieve and store and transmit information<FF>
"Other British towns , Croydon and Southampton among them , are also considering modern tramways .",0,0,Other,ADJ,recently past<FF>belonging to the distant past<FF>very unusual; different in character or quality from the normal or expected; - Lance Morrow<FF>
"Other British towns , Croydon and Southampton among them , are also considering modern tramways .",0,1,British,ADJ,the people of Great Britain<FF>
"Other British towns , Croydon and Southampton among them , are also considering modern tramways .",0,13,modern,ADJ,relating to a recently developed fashion or style<FF>characteristic of present-day art and music and literature and architecture<FF>ahead of the times<FF>used of a living language; being the current stage in its development<FF>
"These are all referred to as Ã¢ÂÂ supertram networks , the implication being that the new-generation tram is an altogether more dynamic form of transport than its pre-war predecessors .",1,21,dynamic,ADJ,an efficient incentive<FF>
"These are all referred to as Ã¢ÂÂ supertram networks , the implication being that the new-generation tram is an altogether more dynamic form of transport than its pre-war predecessors .",0,26,its,ADJ,the branch of engineering that deals with the use of computers and telecommunications to retrieve and store and transmit information<FF>
What it really means is that the new trams are a hybrid between street car and lightweight suburban train .,0,7,new,ADJ,original and of a kind not seen before<FF>lacking training or experience<FF>having no previous example or precedent or parallel<FF>other than the former one(s); different<FF>(of a new kind or fashion) gratuitously new<FF>in use after medieval times<FF>used of a living language; being the current stage in its development<FF>(of crops) harvested at an early stage of development; before complete maturity<FF>unfamiliar<FF>
What it really means is that the new trams are a hybrid between street car and lightweight suburban train .,0,16,lightweight,ADJ,weighing relatively little compared with another item or object of similar use<FF>having no importance or influence<FF>
What it really means is that the new trams are a hybrid between street car and lightweight suburban train .,0,17,suburban,ADJ,relating to or characteristic of or situated in suburbs<FF>
"Although they will slip through the city centre serving the essential parts Ã¢ÂÂ shopping malls , leisure centres , theme parks , amusement arcades and museums Ã¢ÂÂ the Manchester supertrams will also head out of town on a mix of reserved track and existing railway lines .",0,10,essential,ADJ,absolutely necessary; vitally necessary<FF>of the greatest importance<FF>
"Although they will slip through the city centre serving the essential parts Ã¢ÂÂ shopping malls , leisure centres , theme parks , amusement arcades and museums Ã¢ÂÂ the Manchester supertrams will also head out of town on a mix of reserved track and existing railway lines .",0,40,reserved,ADJ,"hold back or set aside, especially for future use or contingency<FF>"
"Although they will slip through the city centre serving the essential parts Ã¢ÂÂ shopping malls , leisure centres , theme parks , amusement arcades and museums Ã¢ÂÂ the Manchester supertrams will also head out of town on a mix of reserved track and existing railway lines .",0,43,existing,ADJ,presently existing<FF>existing in something specified<FF>
"The supertram is , in effect , a low-cost replacement for British Rail 's ageing fleet of suburban diesel multiple-unit trains , those rasping diesels which change gear to the accompaniment of voluminous clouds of acrid black exhaust fumes and the blessing of train spotters .",0,17,suburban,ADJ,relating to or characteristic of or situated in suburbs<FF>
"The supertram is , in effect , a low-cost replacement for British Rail 's ageing fleet of suburban diesel multiple-unit trains , those rasping diesels which change gear to the accompaniment of voluminous clouds of acrid black exhaust fumes and the blessing of train spotters .",0,25,which,ADJ,which<FF>
"The supertram is , in effect , a low-cost replacement for British Rail 's ageing fleet of suburban diesel multiple-unit trains , those rasping diesels which change gear to the accompaniment of voluminous clouds of acrid black exhaust fumes and the blessing of train spotters .",1,32,voluminous,ADJ,large in volume or bulk<FF>marked by repeated turns and bends<FF>large in number or quantity (especially of discourse)<FF>
"The supertram is , in effect , a low-cost replacement for British Rail 's ageing fleet of suburban diesel multiple-unit trains , those rasping diesels which change gear to the accompaniment of voluminous clouds of acrid black exhaust fumes and the blessing of train spotters .",0,35,acrid,ADJ,strong and sharp<FF>harsh or corrosive in tone<FF>
"The supertram is , in effect , a low-cost replacement for British Rail 's ageing fleet of suburban diesel multiple-unit trains , those rasping diesels which change gear to the accompaniment of voluminous clouds of acrid black exhaust fumes and the blessing of train spotters .",0,36,black,ADJ,marked by anger or resentment or hostility<FF>offering little or no hope; ; ; - J.M.Synge<FF>stemming from evil characteristics or forces; wicked or dishonorable; ; ; ; ; ; ; -Thomas Hardy<FF>(of events) having extremely unfortunate or dire consequences; bringing ruin; ; ; ; - Charles Darwin; - Douglas MacArthur<FF>(of the face) made black especially as with suffused blood<FF>extremely dark<FF>harshly ironic or sinister<FF>(of intelligence operations) deliberately misleading<FF>distributed or sold illicitly<FF>(used of conduct or character) deserving or bringing disgrace or shame; - Rachel Carson<FF>(of coffee) without cream or sugar<FF>soiled with dirt or soot<FF>
"They will perform some of the same functions , but they will not be an exact replacement for traditional trams .",0,6,same,ADJ,unchanged in character or nature<FF>
"They will perform some of the same functions , but they will not be an exact replacement for traditional trams .",0,15,exact,ADJ,"(of ideas, images, representations, expressions) characterized by perfect conformity to fact or truth ; strictly correct<FF>"
"They will perform some of the same functions , but they will not be an exact replacement for traditional trams .",0,18,traditional,ADJ,pertaining to time-honored orthodox doctrines<FF>
