0,1,2,3,4,5
"Design : Crossed lines over the toytown tram : City transport could soon be back on the right track , says Jonathan Glancey",0,0,Design,NOUN,the act of working out the form of something (as by making a sketch or outline or plan)<FF>an arrangement scheme<FF>something intended as a guide for making something else<FF>a decorative or artistic work<FF>an anticipated outcome that is intended or that guides your planned actions<FF>a preliminary sketch indicating the plan for something<FF>the creation of something in the mind<FF>
"Design : Crossed lines over the toytown tram : City transport could soon be back on the right track , says Jonathan Glancey",1,3,lines,NOUN,a formation of people or things one beside another<FF>a mark that is long relative to its width<FF>a formation of people or things one behind another<FF>a length (straight or curved) without breadth or thickness; the trace of a moving point<FF>text consisting of a row of words written across a page or computer screen<FF>a single frequency (or very narrow band) of radiation in a spectrum<FF>a fortified position (especially one marking the most forward position of troops)<FF>a course of reasoning aimed at demonstrating a truth or falsehood; the methodical process of logical reasoning<FF>a conductor for transmitting electrical or optical signals or electric power<FF>a connected series of events or actions or developments<FF>a spatial location defined by a real or imaginary unidimensional extent<FF>a slight depression in the smoothness of a surface<FF>a pipe used to transport liquids or gases<FF>the road consisting of railroad track and roadbed<FF>a telephone connection<FF>acting in conformity<FF>the descendants of one individual<FF>something (as a cord or rope) that is long and thin and flexible<FF>the principal activity in your life that you do to earn money<FF>in games or sports; a mark indicating positions or bounds of the playing area<FF>(often plural) a means of communication or access<FF>a particular kind of product or merchandise<FF>a commercial organization serving as a common carrier<FF>space for one line of print (one column wide and 1/14 inch deep) used to measure advertising<FF>the maximum credit that a customer is allowed<FF>a succession of notes forming a distinctive sequence<FF>persuasive but insincere talk that is usually intended to deceive or impress<FF>a short personal letter<FF>a conceptual separation or distinction<FF>mechanical system in a factory whereby an article is conveyed through sites at which successive operations are performed on it<FF>
"Design : Crossed lines over the toytown tram : City transport could soon be back on the right track , says Jonathan Glancey",0,7,tram,NOUN,a conveyance that transports passengers or freight in carriers suspended from cables and supported by a series of towers<FF>a four-wheeled wagon that runs on tracks in a mine<FF>a wheeled vehicle that runs on rails and is propelled by electricity<FF>
"Design : Crossed lines over the toytown tram : City transport could soon be back on the right track , says Jonathan Glancey",0,9,City,NOUN,a large and densely populated urban area; may include several independent administrative districts<FF>an incorporated administrative district established by state charter<FF>people living in a large densely populated municipality<FF>
"Design : Crossed lines over the toytown tram : City transport could soon be back on the right track , says Jonathan Glancey",0,10,transport,NOUN,something that serves as a means of transportation<FF>an exchange of molecules (and their kinetic energy and momentum) across the boundary between adjacent layers of a fluid or across cell membranes<FF>the commercial enterprise of moving goods and materials<FF>a state of being carried away by overwhelming emotion; - Charles Dickens<FF>a mechanism that transports magnetic tape across the read/write heads of a tape playback/recorder<FF>the act of moving something from one location to another<FF>
"Design : Crossed lines over the toytown tram : City transport could soon be back on the right track , says Jonathan Glancey",1,18,track,NOUN,a line or route along which something travels or moves<FF>evidence pointing to a possible solution<FF>a pair of parallel rails providing a runway for wheels<FF>a course over which races are run<FF>a distinct selection of music from a recording or a compact disc<FF>an endless metal belt on which tracked vehicles move over the ground<FF>(computer science) one of the circular magnetic paths on a magnetic disk that serve as a guide for writing and reading data<FF>a groove on a phonograph recording<FF>a bar or pair of parallel bars of rolled steel making the railway along which railroad cars or other vehicles can roll<FF>any road or path affording passage especially a rough one<FF>the act of participating in an athletic competition involving running on a track<FF>
"MODERN trams , as most continental Europeans know , neither shake nor rattle , nor do they roll .",0,1,trams,NOUN,a conveyance that transports passengers or freight in carriers suspended from cables and supported by a series of towers<FF>a four-wheeled wagon that runs on tracks in a mine<FF>a wheeled vehicle that runs on rails and is propelled by electricity<FF>
"Sleek , solidly built , gentle on the environment , they are often an ideal form of city transport .",0,8,environment,NOUN,the totality of surrounding conditions<FF>the area in which something exists or lives<FF>
"Sleek , solidly built , gentle on the environment , they are often an ideal form of city transport .",1,15,form,NOUN,the phonological or orthographic sound or appearance of a word that can be used to describe or identify something<FF>a category of things distinguished by some common characteristic or quality<FF>a perceptual structure<FF>any spatial attributes (especially as defined by outline)<FF>alternative names for the body of a human being<FF>the spatial arrangement of something as distinct from its substance<FF>the visual appearance of something or someone<FF>a printed document with spaces in which to write<FF>(biology) a group of organisms within a species that differ in trivial ways from similar groups<FF>an arrangement of the elements in a composition or discourse<FF>a particular mode in which something is manifested<FF>(physical chemistry) a distinct state of matter in a system; matter that is identical in chemical composition and physical state and separated from other material by the phase boundary<FF>a body of students who are taught together<FF>an ability to perform well<FF>a life-size dummy used to display clothes<FF>a mold for setting concrete<FF>
"Sleek , solidly built , gentle on the environment , they are often an ideal form of city transport .",0,17,city,NOUN,a large and densely populated urban area; may include several independent administrative districts<FF>an incorporated administrative district established by state charter<FF>people living in a large densely populated municipality<FF>
