0,1,2,3,4,5
judge from their looks you know what they 're drinking and you just like go vaguely waving his empty glass,1,23,solve,verb,"find the solution to (a problem or question) or understand the meaning of<FF>find the solution<FF>settle, as of a debt<FF>"
I 'll eat your dinner .,0,9,force,verb,"to cause to do through pressure or necessity, by physical, moral or intellectual means :<FF>urge or force (a person) to an action; constrain or motivate<FF>move with force,<FF>impose urgently, importunately, or inexorably<FF>squeeze like a wedge into a tight space<FF>force into or from an action or state, either physically or metaphorically<FF>cause to move by pulling<FF>do forcibly; exert force<FF>take by force<FF>"
"Here a right turn took him off the coastal road on to what was little more than a smoothly macadamed track bordered by water-filled ditches and fringed by a golden haze of reeds , their lumbered heads straining in the wind .",0,26,dispatch,verb,send away towards a designated goal<FF>complete or carry out<FF>kill intentionally and with premeditation<FF>dispose of rapidly and without delay and efficiently<FF>kill without delay<FF>
"He would have been lying if he had recorded only the more accessible drama of the painter 's electric quarrels with Gauguin in the Yellow House in Arles , the distant necessary brother who supplied paint and love , the severed ear delivered to the whore in the brothel , the asylum fears .",0,2,lie,verb,"be located or situated somewhere; occupy a certain position<FF>be lying, be prostrate; be in a horizontal position<FF>originate (in)<FF>be and remain in a particular state or condition<FF>tell an untruth; pretend with intent to deceive<FF>have a place in relation to something else<FF>assume a reclining position<FF>"
"At the edge of the eyes are a pair of long spines , and these point downwards at a steep angle , at very awkward attitude for resting comfortably on the sea floor .",0,36,recognize,verb,"accept (someone) to be what is claimed or accept his power and authority<FF>be fully aware or cognizant of<FF>detect with the senses<FF>perceive to be the same<FF>grant credentials to<FF>express greetings upon meeting someone<FF>express obligation, thanks, or gratitude for<FF>exhibit recognition for (an antigen or a substrate)<FF>show approval or appreciation of<FF>"
Stable prosperity can be achieved throughout the world provided the environment is nurtured and safeguarded ( Thatcher 1988 ) .,0,22,need,verb,"require as useful, just, or proper<FF>have need of<FF>have or feel a need for<FF>"
"Writing books for children is becoming increasingly complex , as the arbiters of the modern child 's mores librarians , teachers and publishers lay down ever more stringent criteria .",0,1,wash,verb,"clean with some chemical process<FF>cleanse (one's body) with soap and water<FF>cleanse with a cleaning agent, such as soap, and water<FF>move by or as if by water<FF>be capable of being washed<FF>admit to testing or proof<FF>separate dirt or gravel from (precious minerals)<FF>apply a thin coating of paint, metal, etc., to<FF>remove by the application of water or other liquid and soap or some other cleaning agent<FF>form by erosion<FF>make moist<FF>wash or flow against<FF>to cleanse (itself or another animal) by licking<FF>"
""" I keep trying .",1,29,show,verb,"give an exhibition of to an interested audience<FF>establish the validity of something, as by an example, explanation or experiment<FF>provide evidence for<FF>make visible or noticeable<FF>show in, or as in, a picture<FF>give expression to<FF>indicate a place, direction, person, or thing; either spatially or figuratively<FF>be or become visible or noticeable<FF>indicate a certain reading; of gauges and instruments<FF>give evidence of, as of records<FF>take (someone) to their seats, as in theaters or auditoriums<FF>finish third or better in a horse or dog race<FF>"
"For example , earthquake fault zones can be combined with data on housing density and structural details to predict earthquake damage levels and these data then related to the network model .",1,16,secure,verb,get by special effort<FF>cause to be firmly attached<FF>assure payment of<FF>make certain of<FF>fill or close tightly with or as if with a plug<FF>furnish with battens<FF>
"Sweetman drew on his fancy cigarette , then blew a plume of smoke into Wavebreaker 's rigging before smiling lazily at Ellen .",0,5,know,verb,"be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about<FF>know how to do or perform something<FF>be aware of the truth of something; have a belief or faith in something; regard as true beyond any doubt<FF>be familiar or acquainted with a person or an object<FF>have firsthand knowledge of states, situations, emotions, or sensations<FF>accept (someone) to be what is claimed or accept his power and authority<FF>have fixed in the mind<FF>have sexual intercourse with<FF>know the nature or character of<FF>be able to distinguish, recognize as being different<FF>perceive as familiar<FF>"
"If you do not know what a tree or shrub is , exercise clemency and give it a year 's grace to demonstrate its worth before you turn it over to the axeman .",0,2,eat,verb,"take in solid food<FF>eat a meal; take a meal<FF>take in food; used of animals only<FF>worry or cause anxiety in a persistent way<FF>use up (resources or materials)<FF>cause to deteriorate due to the action of water, air, or an acid<FF>"
The importance of it did n't surface until Germany was reunified .,0,19,macadam,verb,broken stone used in macadamized roadways<FF>
"Villages and refugee camps were thus being developed into liberated or independent areas , if not militarily , then at least psychologically , politically and infrastructurally .",0,34,supply,verb,"give something useful or necessary to<FF>circulate or distribute or equip with<FF>give what is desired or needed, especially support, food or sustenance<FF>state or say further<FF>"
"Take care , said Rufus , and not looking back any more than he had done when they returned from the cemetery , drove off round the town he had got to know so well , over the Stour bridge , into Essex , heading for Halstead and Dunmow and Ongar and London .",0,16,downwards,verb,spatially or metaphorically from a higher to a lower level or position<FF>
drive down drop her off at in-laws .,0,8,provide,verb,"give something useful or necessary to<FF>give what is desired or needed, especially support, food or sustenance<FF>determine (what is to happen in certain contingencies), especially by including a proviso condition or stipulation<FF>mount or put up<FF>make a possibility or provide opportunity for; permit to be attainable or cause to remain<FF>supply means of subsistence; earn a living<FF>take measures in preparation for<FF>"
"In no way , however , does this invalidate the need for microscale studies for instance , while global data sets may indicate the extent of algal blooms and may suggest causes of them , only detailed study of the algae themselves can provide understanding of why the bloom is occurring .",0,0,writing,verb,"produce a literary work<FF>communicate or express by writing<FF>have (one's written work) issued for publication<FF>communicate (with) in writing<FF>communicate by letter<FF>write music<FF>mark or trace on a surface<FF>record data on a computer<FF>write or name the letters that comprise the conventionally accepted form of (a word or part of a word)<FF>create code, write a computer program<FF>"
Do n't you see ?,0,3,try,verb,"make an effort or attempt<FF>put to the test, as for its quality, or give experimental use to<FF>put on trial or hear a case and sit as the judge at the trial of<FF>take a sample of<FF>examine or hear (evidence or a case) by judicial process<FF>give pain or trouble to<FF>test the limits of<FF>melt (fat or lard) in order to separate out impurities<FF>put on a garment in order to see whether it fits and looks nice<FF>"
"All it needs is to promise a high-powered investigation , such as a Royal Commission , into the practicalities of an alternative voting system ( surely justified by the intense public interest now abounding ) .",0,18,predict,verb,make a prediction about; tell in advance<FF>indicate by signs<FF>
"It would be bad enough if I were a G P or an expert in some other branch of medicine , an orthopaedic surgeon , for instance , or an ear , nose and throat man , but I am a gynaecologist , and it is the bones of a young woman and a baby that have been found there",0,18,smile,verb,"change one's facial expression by spreading the lips, often to signal pleasure<FF>express with a smile<FF>"
The next section therefore attempts to summarize what we do know ; it is derived chiefly from the Earth System Sciences Committee ( ESSC ) ( 1988 ) .,0,4,know,verb,"be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about<FF>know how to do or perform something<FF>be aware of the truth of something; have a belief or faith in something; regard as true beyond any doubt<FF>be familiar or acquainted with a person or an object<FF>have firsthand knowledge of states, situations, emotions, or sensations<FF>accept (someone) to be what is claimed or accept his power and authority<FF>have fixed in the mind<FF>have sexual intercourse with<FF>know the nature or character of<FF>be able to distinguish, recognize as being different<FF>perceive as familiar<FF>"
Manchester Dispatch : I hope you will continue this form of enterprise .,1,6,surface,verb,come to the surface<FF>put a coat on; cover the surface of; furnish with a surface<FF>appear or become visible; make a showing<FF>
Yes but they all say that,1,9,liberate,verb,give equal rights to; of women and minorities<FF>grant freedom to; free from confinement<FF>grant freedom to<FF>release (gas or energy) as a result of a chemical reaction or physical decomposition<FF>
Off we go,0,23,drive,verb,"operate or control a vehicle<FF>travel or be transported in a vehicle<FF>cause someone or something to move by driving<FF>force into or from an action or state, either physically or metaphorically<FF>to compel or force or urge relentlessly or exert coercive pressure on, or motivate strongly<FF>cause to move back by force or influence<FF>compel somebody to do something, often against his own will or judgment<FF>push, propel, or press with force<FF>cause to move rapidly by striking or throwing with force<FF>strive and make an effort to reach a goal<FF>move into a desired direction of discourse<FF>have certain properties when driven<FF>work as a driver<FF>move by being propelled by a force<FF>urge forward<FF>proceed along in a vehicle<FF>strike with a driver, as in teeing off<FF>hit very hard, as by swinging a bat horizontally<FF>excavate horizontally<FF>cause to function by supplying the force or power for or by controlling<FF>hunting: search for game<FF>hunting: chase from cover into more open ground<FF>"
